Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Stephen Curry,Point,2023-10-24,GSW,PHO,27.0,1.0,8.0,20.0,0.4,4.0,14.0,0.286,7.0,7.0,1.0,2.0,0.585,31.5,0.5,117.0,109.0,15.8,6.3,114.6
Stephen Curry,Point,2023-10-27,GSW,SAC,41.0,4.0,14.0,19.0,0.737,7.0,10.0,0.7,6.0,6.0,1.0,4.0,0.947,31.5,0.921,150.0,112.0,35.7,18.9,115.2
Stephen Curry,Point,2023-10-29,GSW,HOU,24.0,6.0,6.0,16.0,0.375,6.0,14.0,0.429,6.0,6.0,1.0,1.0,0.644,28.5,0.563,136.0,104.0,21.2,13.7,113.4
Stephen Curry,Point,2023-10-30,GSW,NOP,42.0,5.0,15.0,22.0,0.682,7.0,13.0,0.538,5.0,7.0,0.714,3.0,0.837,37.2,0.841,157.0,101.0,35.4,28.0,112.9
Stephen Curry,Point,2023-11-01,GSW,SAC,21.0,3.0,7.0,15.0,0.467,4.0,10.0,0.4,3.0,3.0,1.0,7.0,0.643,33.1,0.6,86.0,113.0,9.1,-6.3,115.2
Stephen Curry,Point,2023-11-03,GSW,OKC,30.0,7.0,9.0,15.0,0.6,5.0,10.0,0.5,7.0,7.0,1.0,3.0,0.83,26.8,0.767,157.0,129.0,30.2,15.4,112.1
Stephen Curry,Point,2023-11-05,GSW,CLE,28.0,4.0,8.0,16.0,0.5,7.0,11.0,0.636,5.0,6.0,0.833,6.0,0.751,31.9,0.719,108.0,120.0,18.0,9.7,112.7
Stephen Curry,Point,2023-11-06,GSW,DET,34.0,4.0,12.0,26.0,0.462,7.0,17.0,0.412,3.0,4.0,0.75,3.0,0.612,38.6,0.596,120.0,122.0,20.2,6.8,118.8
Stephen Curry,Point,2023-11-08,GSW,DEN,23.0,4.0,6.0,17.0,0.353,6.0,13.0,0.462,5.0,5.0,1.0,3.0,0.599,29.0,0.529,114.0,115.0,15.4,6.1,113.0
Stephen Curry,Point,2023-11-11,GSW,CLE,30.0,2.0,9.0,24.0,0.375,4.0,14.0,0.286,8.0,8.0,1.0,4.0,0.545,37.7,0.458,104.0,115.0,16.8,5.1,112.7
Stephen Curry,Point,2023-11-12,GSW,MIN,38.0,3.0,11.0,25.0,0.44,5.0,13.0,0.385,11.0,12.0,0.917,5.0,0.627,38.3,0.54,116.0,118.0,23.7,10.2,109.0
Stephen Curry,Point,2023-11-18,GSW,OKC,25.0,3.0,8.0,21.0,0.381,5.0,11.0,0.455,4.0,4.0,1.0,2.0,0.549,26.7,0.5,108.0,124.0,14.9,-2.2,112.1
Stephen Curry,Point,2023-11-20,GSW,HOU,32.0,1.0,8.0,14.0,0.571,5.0,9.0,0.556,11.0,12.0,0.917,4.0,0.83,32.3,0.75,131.0,127.0,22.4,3.9,113.4
Stephen Curry,Point,2023-11-22,GSW,PHO,16.0,6.0,6.0,15.0,0.4,1.0,8.0,0.125,3.0,3.0,1.0,2.0,0.49,27.0,0.433,105.0,127.0,10.2,-2.7,114.6
Stephen Curry,Point,2023-11-24,GSW,SAS,35.0,6.0,11.0,20.0,0.55,7.0,14.0,0.5,6.0,6.0,1.0,6.0,0.773,34.2,0.725,117.0,108.0,24.7,8.4,116.4
