Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Trae Young,Point,2023-10-25,ATL,CHO,23.0,9.0,4.0,19.0,0.211,1.0,9.0,0.111,14.0,15.0,0.933,5.0,0.449,34.1,0.237,92.0,118.0,12.3,-5.5,119.8
Trae Young,Point,2023-10-27,ATL,NYK,18.0,12.0,4.0,16.0,0.25,2.0,5.0,0.4,8.0,10.0,0.8,6.0,0.441,31.4,0.313,94.0,120.0,13.5,-3.6,113.4
Trae Young,Point,2023-10-29,ATL,MIL,20.0,11.0,5.0,14.0,0.357,3.0,8.0,0.375,7.0,9.0,0.778,3.0,0.557,26.2,0.464,125.0,112.0,17.6,1.4,115.8
Trae Young,Point,2023-10-30,ATL,MIN,24.0,8.0,9.0,22.0,0.409,1.0,7.0,0.143,5.0,5.0,1.0,1.0,0.496,33.6,0.432,112.0,123.0,17.7,-4.9,109.0
Trae Young,Point,2023-11-01,ATL,WAS,23.0,10.0,7.0,18.0,0.389,1.0,3.0,0.333,8.0,9.0,0.889,3.0,0.524,26.9,0.417,118.0,110.0,19.3,0.3,119.6
Trae Young,Point,2023-11-04,ATL,NOP,22.0,12.0,7.0,15.0,0.467,3.0,7.0,0.429,5.0,6.0,0.833,5.0,0.624,24.5,0.567,128.0,118.0,19.8,4.2,112.9
Trae Young,Point,2023-11-06,ATL,OKC,22.0,11.0,5.0,18.0,0.278,1.0,5.0,0.2,11.0,11.0,1.0,7.0,0.482,30.0,0.306,100.0,126.0,14.3,-3.1,112.1
Trae Young,Point,2023-11-09,ATL,ORL,41.0,8.0,12.0,27.0,0.444,5.0,15.0,0.333,12.0,13.0,0.923,3.0,0.627,43.4,0.537,131.0,116.0,33.7,14.3,111.3
Trae Young,Point,2023-11-11,ATL,MIA,27.0,11.0,7.0,19.0,0.368,3.0,9.0,0.333,10.0,11.0,0.909,5.0,0.566,31.1,0.447,120.0,121.0,20.4,2.4,112.2
Trae Young,Point,2023-11-15,ATL,NYK,15.0,17.0,4.0,12.0,0.333,0.0,4.0,0.0,7.0,9.0,0.778,3.0,0.47,26.0,0.333,121.0,127.0,18.6,2.1,113.4
Trae Young,Point,2023-11-17,ATL,PHI,22.0,13.0,5.0,14.0,0.357,2.0,6.0,0.333,10.0,10.0,1.0,4.0,0.598,25.2,0.429,127.0,133.0,19.7,3.3,113.8
Trae Young,Point,2023-11-21,ATL,IND,38.0,8.0,13.0,17.0,0.765,5.0,8.0,0.625,7.0,8.0,0.875,3.0,0.926,23.8,0.912,170.0,142.0,35.6,11.6,118.0
Trae Young,Point,2023-11-22,ATL,BRK,43.0,9.0,12.0,31.0,0.387,8.0,16.0,0.5,11.0,13.0,0.846,4.0,0.586,37.8,0.516,130.0,129.0,31.6,9.6,116.1
Trae Young,Point,2023-11-25,ATL,WAS,26.0,10.0,9.0,17.0,0.529,5.0,8.0,0.625,3.0,3.0,1.0,2.0,0.71,26.8,0.676,150.0,104.0,26.1,13.2,119.6
Trae Young,Point,2023-11-26,ATL,BOS,33.0,7.0,12.0,27.0,0.444,6.0,16.0,0.375,3.0,6.0,0.5,5.0,0.557,40.1,0.556,108.0,122.0,18.3,4.5,111.6
Trae Young,Point,2023-11-28,ATL,CLE,13.0,10.0,3.0,14.0,0.214,2.0,8.0,0.25,5.0,6.0,0.833,3.0,0.391,24.0,0.286,91.0,128.0,8.1,-5.5,112.7
Trae Young,Point,2023-11-30,ATL,SAS,45.0,14.0,15.0,29.0,0.517,2.0,9.0,0.222,13.0,16.0,0.813,2.0,0.624,38.5,0.552,136.0,127.0,40.1,9.2,116.4
Trae Young,Point,2023-12-02,ATL,MIL,32.0,12.0,13.0,28.0,0.464,5.0,13.0,0.385,1.0,2.0,0.5,4.0,0.554,35.4,0.554,119.0,132.0,25.0,7.8,115.8
Trae Young,Point,2023-12-06,ATL,BRK,30.0,9.0,11.0,24.0,0.458,3.0,9.0,0.333,5.0,5.0,1.0,5.0,0.573,35.3,0.521,111.0,117.0,20.2,4.0,116.1
Trae Young,Point,2023-12-11,ATL,DEN,19.0,9.0,5.0,12.0,0.417,2.0,5.0,0.4,7.0,7.0,1.0,5.0,0.63,32.1,0.5,116.0,134.0,14.4,-0.1,113.0
Trae Young,Point,2023-12-13,ATL,TOR,35.0,17.0,13.0,27.0,0.481,4.0,9.0,0.444,5.0,6.0,0.833,5.0,0.59,36.7,0.556,123.0,139.0,28.5,2.5,118.8
Trae Young,Point,2023-12-15,ATL,TOR,38.0,11.0,15.0,29.0,0.517,7.0,15.0,0.467,1.0,2.0,0.5,8.0,0.636,43.7,0.638,113.0,107.0,25.1,7.0,118.8
Trae Young,Point,2023-12-16,ATL,CLE,35.0,10.0,11.0,21.0,0.524,7.0,12.0,0.583,6.0,6.0,1.0,5.0,0.74,33.5,0.69,132.0,135.0,27.4,9.1,112.7
Trae Young,Point,2023-12-18,ATL,DET,31.0,15.0,8.0,17.0,0.471,4.0,11.0,0.364,11.0,12.0,0.917,5.0,0.696,30.3,0.588,142.0,127.0,27.4,3.4,118.8
Trae Young,Point,2023-12-20,ATL,HOU,30.0,14.0,10.0,18.0,0.556,5.0,8.0,0.625,5.0,7.0,0.714,4.0,0.712,29.4,0.694,140.0,132.0,27.0,7.8,113.4
Trae Young,Point,2023-12-22,ATL,MIA,30.0,13.0,10.0,22.0,0.455,7.0,13.0,0.538,3.0,3.0,1.0,6.0,0.643,30.8,0.614,118.0,122.0,24.2,7.2,112.2
Trae Young,Point,2023-12-23,ATL,MEM,30.0,13.0,11.0,24.0,0.458,3.0,10.0,0.3,5.0,7.0,0.714,2.0,0.554,29.7,0.521,125.0,127.0,25.9,4.9,114.3
