PTS,OPP DRTG
16.0,112.8
27.0,115.3
22.0,112.1
15.0,116.7
30.0,113.6
28.0,111.8
36.0,115.3
37.0,109.1
21.0,112.5
26.0,116.1
22.0,109.1
13.0,110.8
20.0,110.5
26.0,115.3
18.0,109.0
16.0,113.0
30.0,116.9
34.0,106.9
35.0,109.7
36.0,111.7
22.0,110.8
28.0,114.5
27.0,110.1
27.0,112.3
32.0,114.5
21.0,113.7
28.0,111.7
33.0,109.4
39.0,111.7
20.0,106.9
29.0,113.0
36.0,116.1
31.0,113.8
17.0,109.7
31.0,112.1
13.0,113.3
27.0,112.8
32.0,110.5
24.0,112.5
30.0,116.7
37.0,113.3
33.0,109.4
26.0,107.3
37.0,116.7
14.0,113.0
24.0,112.8
17.0,109.4
25.0,115.3
29.0,111.8
37.0,113.6
36.0,110.5
30.0,112.8
37.0,106.9
26.0,113.7
12.0,109.4
33.0,110.1
29.0,113.3
26.0,106.9
20.0,109.0
18.0,107.3
