PTS,OPP DRTG
19.0,118.8
12.0,112.2
16.0,119.4
21.0,113.0
25.0,120.4
23.0,112.9
29.0,116.4
21.0,115.2
33.0,115.2
25.0,114.6
29.0,112.9
20.0,113.4
23.0,113.8
27.0,115.2
18.0,114.3
13.0,112.1
32.0,120.4
14.0,116.4
24.0,114.3
17.0,112.9
21.0,115.4
40.0,118.0
18.0,112.2
23.0,113.8
21.0,115.3
16.0,112.1
10.0,115.4
9.0,115.3
29.0,113.4
22.0,112.9
22.0,113.4
24.0,115.4
28.0,111.3
25.0,111.6
23.0,117.5
17.0,115.4
27.0,118.8
14.0,114.3
19.0,112.1
62.0,119.8
27.0,119.6
27.0,116.1
19.0,116.4
21.0,112.1
29.0,115.4
19.0,111.3
14.0,113.4
33.0,116.3
19.0,115.8
24.0,115.4
13.0,117.5
23.0,117.5
22.0,115.8
28.0,116.1
19.0,115.2
18.0,115.4
14.0,117.5
11.0,119.4
10.0,114.6
