PTS,OPP DRTG
27.0,114.6
41.0,115.2
24.0,113.4
42.0,112.9
21.0,115.2
30.0,112.1
28.0,112.7
34.0,118.8
23.0,113.0
30.0,112.7
38.0,109.0
25.0,112.1
32.0,113.4
16.0,114.6
35.0,116.4
29.0,115.2
26.0,115.4
22.0,115.4
31.0,117.5
34.0,112.1
24.0,114.6
17.0,115.4
37.0,116.1
7.0,117.5
33.0,111.6
30.0,119.6
27.0,117.5
18.0,113.0
13.0,112.2
25.0,115.4
36.0,111.3
30.0,113.0
26.0,118.8
9.0,118.8
15.0,112.9
27.0,116.3
26.0,114.3
25.0,119.4
33.0,115.2
46.0,115.3
37.0,113.8
20.0,114.3
60.0,119.4
29.0,116.1
9.0,113.8
42.0,118.0
30.0,114.6
41.0,115.4
16.0,120.4
32.0,115.3
15.0,119.8
20.0,113.0
18.0,119.6
31.0,113.4
29.0,115.8
15.0,116.3
31.0,115.3
27.0,113.4
25.0,118.0
31.0,109.0
17.0,111.3
23.0,119.8
33.0,116.4
29.0,113.4
28.0,115.4
23.0,115.3
22.0,117.5
33.0,112.9
