PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
12.0,4.0,5.0,20.0,0.25,1.0,9.0,0.111,1.0,1.0,1.0,3.0,0.294,25.8,0.275,66.0,94.0,3.4,-2.7,114.5
11.0,9.0,3.0,10.0,0.3,2.0,5.0,0.4,3.0,3.0,1.0,4.0,0.486,16.5,0.4,105.0,85.0,12.4,4.3,106.9
20.0,5.0,8.0,17.0,0.471,2.0,9.0,0.222,2.0,5.0,0.4,3.0,0.521,25.6,0.529,99.0,114.0,11.5,-1.7,109.4
15.0,17.0,6.0,13.0,0.462,1.0,4.0,0.25,2.0,2.0,1.0,8.0,0.54,22.2,0.5,106.0,116.0,16.0,1.1,113.6
19.0,6.0,7.0,16.0,0.438,3.0,10.0,0.3,2.0,3.0,0.667,1.0,0.548,21.7,0.531,119.0,125.0,12.5,-3.6,112.5
16.0,4.0,6.0,14.0,0.429,2.0,7.0,0.286,2.0,3.0,0.667,4.0,0.522,21.1,0.5,93.0,94.0,10.7,-0.1,116.1
33.0,6.0,13.0,22.0,0.591,3.0,6.0,0.5,4.0,4.0,1.0,2.0,0.694,26.9,0.659,137.0,111.0,27.2,10.2,114.5
18.0,6.0,6.0,18.0,0.333,4.0,8.0,0.5,2.0,3.0,0.667,3.0,0.466,25.9,0.444,106.0,115.0,10.6,-3.1,109.7
21.0,8.0,6.0,14.0,0.429,3.0,8.0,0.375,6.0,6.0,1.0,1.0,0.631,20.1,0.536,135.0,131.0,21.5,6.3,112.8
16.0,6.0,5.0,14.0,0.357,4.0,9.0,0.444,2.0,2.0,1.0,2.0,0.538,22.1,0.5,104.0,103.0,14.6,7.5,106.9
32.0,7.0,11.0,22.0,0.5,6.0,11.0,0.545,4.0,4.0,1.0,1.0,0.673,25.9,0.636,148.0,118.0,26.1,8.8,110.8
24.0,4.0,7.0,17.0,0.412,3.0,8.0,0.375,7.0,8.0,0.875,2.0,0.585,27.7,0.5,120.0,116.0,20.5,10.3,110.5
13.0,6.0,5.0,14.0,0.357,2.0,7.0,0.286,1.0,1.0,1.0,7.0,0.45,29.7,0.429,80.0,99.0,4.9,-8.0,115.3
