PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
13.0,4.0,3.0,12.0,0.25,3.0,6.0,0.5,4.0,4.0,1.0,2.0,0.472,29.1,0.375,103.0,110.0,8.5,-2.1,116.3
24.0,2.0,9.0,17.0,0.529,2.0,4.0,0.5,4.0,6.0,0.667,2.0,0.611,27.7,0.588,123.0,122.0,16.7,2.4,115.3
15.0,5.0,6.0,17.0,0.353,0.0,5.0,0.0,3.0,6.0,0.5,5.0,0.382,34.2,0.353,78.0,123.0,3.6,-12.6,112.1
16.0,3.0,5.0,12.0,0.417,1.0,3.0,0.333,5.0,7.0,0.714,3.0,0.531,28.0,0.458,94.0,113.0,9.3,-5.5,115.2
6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.23,23.4,1.25,245.0,151.0,6.1,34.8,113.4
25.0,2.0,10.0,13.0,0.769,1.0,2.0,0.5,4.0,4.0,1.0,1.0,0.847,21.2,0.808,158.0,115.0,21.9,8.3,111.3
21.0,1.0,8.0,16.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,4.0,0.591,27.6,0.531,97.0,91.0,11.8,-3.6,117.5
21.0,4.0,7.0,20.0,0.35,0.0,6.0,0.0,7.0,7.0,1.0,3.0,0.455,28.7,0.35,103.0,145.0,11.6,-11.4,115.4
25.0,9.0,11.0,18.0,0.611,2.0,6.0,0.333,1.0,1.0,1.0,2.0,0.678,25.6,0.667,136.0,110.0,23.1,5.7,112.2
12.0,5.0,5.0,12.0,0.417,0.0,1.0,0.0,2.0,4.0,0.5,1.0,0.436,15.4,0.417,107.0,121.0,9.1,-5.3,114.3
15.0,2.0,7.0,15.0,0.467,0.0,2.0,0.0,1.0,2.0,0.5,2.0,0.472,23.8,0.467,88.0,142.0,7.6,-8.8,115.4
37.0,4.0,14.0,21.0,0.667,8.0,10.0,0.8,1.0,1.0,1.0,3.0,0.863,31.7,0.857,153.0,112.0,30.1,18.8,115.3
23.0,5.0,9.0,13.0,0.692,4.0,6.0,0.667,1.0,3.0,0.333,4.0,0.803,23.5,0.846,125.0,122.0,17.8,1.1,117.5
13.0,5.0,6.0,14.0,0.429,0.0,4.0,0.0,1.0,2.0,0.5,1.0,0.437,18.2,0.429,104.0,115.0,10.2,-5.4,115.2
25.0,3.0,11.0,16.0,0.688,0.0,1.0,0.0,3.0,3.0,1.0,2.0,0.722,23.0,0.688,134.0,116.0,19.3,0.9,118.0
18.0,5.0,7.0,17.0,0.412,2.0,4.0,0.5,2.0,2.0,1.0,1.0,0.503,24.3,0.471,104.0,126.0,12.6,-6.4,116.3
20.0,7.0,8.0,15.0,0.533,3.0,7.0,0.429,1.0,2.0,0.5,2.0,0.63,21.6,0.633,136.0,112.0,18.2,2.9,115.4
12.0,3.0,5.0,13.0,0.385,1.0,5.0,0.2,1.0,1.0,1.0,6.0,0.446,23.2,0.423,74.0,126.0,2.3,-14.1,118.0
9.0,6.0,4.0,13.0,0.308,0.0,5.0,0.0,1.0,4.0,0.25,4.0,0.305,24.4,0.308,69.0,118.0,1.8,-11.0,111.3
19.0,7.0,8.0,21.0,0.381,2.0,9.0,0.222,1.0,1.0,1.0,1.0,0.443,25.6,0.429,102.0,114.0,12.7,-4.7,112.2
12.0,5.0,3.0,8.0,0.375,1.0,3.0,0.333,5.0,6.0,0.833,3.0,0.564,16.6,0.438,116.0,127.0,8.9,-8.5,116.1
14.0,10.0,5.0,16.0,0.313,0.0,7.0,0.0,4.0,4.0,1.0,4.0,0.394,23.9,0.313,94.0,137.0,8.6,-10.8,119.4
43.0,6.0,16.0,21.0,0.762,4.0,5.0,0.8,7.0,7.0,1.0,2.0,0.893,34.7,0.857,168.0,109.0,39.1,18.7,119.6
25.0,3.0,10.0,22.0,0.455,2.0,8.0,0.25,3.0,5.0,0.6,4.0,0.517,32.0,0.5,98.0,100.0,16.5,1.0,115.8
30.0,7.0,11.0,21.0,0.524,6.0,9.0,0.667,2.0,2.0,1.0,5.0,0.686,32.8,0.667,114.0,122.0,20.8,0.0,120.4
31.0,6.0,10.0,14.0,0.714,3.0,5.0,0.6,8.0,10.0,0.8,7.0,0.842,30.2,0.821,125.0,121.0,23.5,10.7,112.1
16.0,6.0,6.0,18.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,2.0,0.424,26.6,0.389,93.0,104.0,10.6,-3.6,113.0
20.0,8.0,8.0,16.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,2.0,0.563,26.1,0.531,124.0,118.0,17.1,1.1,118.8
25.0,4.0,10.0,20.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,1.0,0.599,25.8,0.575,125.0,120.0,18.5,6.6,111.6
24.0,4.0,10.0,19.0,0.526,2.0,7.0,0.286,2.0,2.0,1.0,1.0,0.604,26.4,0.579,134.0,117.0,20.6,5.1,112.7
22.0,7.0,9.0,17.0,0.529,2.0,4.0,0.5,2.0,2.0,1.0,3.0,0.615,24.2,0.588,127.0,134.0,17.8,5.5,111.6
28.0,7.0,11.0,15.0,0.733,1.0,3.0,0.333,5.0,6.0,0.833,3.0,0.794,25.2,0.767,142.0,144.0,25.9,2.9,115.8
12.0,9.0,4.0,7.0,0.571,2.0,4.0,0.5,2.0,2.0,1.0,5.0,0.761,16.2,0.714,125.0,127.0,11.1,-1.7,119.4
10.0,7.0,3.0,11.0,0.273,3.0,7.0,0.429,1.0,2.0,0.5,4.0,0.421,19.9,0.409,90.0,108.0,6.9,-3.0,113.0
19.0,3.0,6.0,13.0,0.462,1.0,2.0,0.5,6.0,6.0,1.0,2.0,0.607,19.7,0.5,115.0,106.0,19.0,6.0,115.4
26.0,4.0,9.0,17.0,0.529,4.0,7.0,0.571,4.0,4.0,1.0,3.0,0.693,26.9,0.647,122.0,112.0,18.2,-0.5,115.4
20.0,4.0,9.0,13.0,0.692,1.0,3.0,0.333,1.0,1.0,1.0,3.0,0.744,22.9,0.731,128.0,108.0,19.3,8.6,115.2
36.0,5.0,14.0,21.0,0.667,6.0,6.0,1.0,2.0,2.0,1.0,1.0,0.823,27.6,0.81,170.0,115.0,34.3,19.6,109.0
