PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
32.0,7.0,14.0,19.0,0.737,2.0,2.0,1.0,2.0,3.0,0.667,6.0,0.787,34.0,0.789,127.0,85.0,31.7,21.0,112.3
24.0,3.0,9.0,15.0,0.6,1.0,4.0,0.25,5.0,6.0,0.833,6.0,0.68,28.9,0.633,105.0,90.0,21.5,10.2,109.7
24.0,6.0,8.0,9.0,0.889,3.0,3.0,1.0,5.0,7.0,0.714,1.0,0.993,39.3,1.056,191.0,122.0,25.1,48.9,110.5
26.0,7.0,10.0,23.0,0.435,3.0,8.0,0.375,3.0,4.0,0.75,7.0,0.525,36.8,0.5,97.0,86.0,20.7,8.6,111.7
23.0,7.0,9.0,15.0,0.6,2.0,6.0,0.333,3.0,4.0,0.75,3.0,0.686,26.9,0.667,120.0,105.0,22.1,13.5,109.0
34.0,5.0,11.0,20.0,0.55,2.0,5.0,0.4,10.0,10.0,1.0,2.0,0.697,33.6,0.6,141.0,112.0,30.8,17.8,109.0
28.0,2.0,9.0,15.0,0.6,1.0,3.0,0.333,9.0,11.0,0.818,5.0,0.706,30.5,0.633,116.0,93.0,22.4,7.5,116.7
22.0,10.0,10.0,22.0,0.455,1.0,8.0,0.125,1.0,4.0,0.25,2.0,0.463,32.9,0.477,109.0,95.0,21.1,10.2,114.9
28.0,9.0,11.0,17.0,0.647,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0.764,34.8,0.735,150.0,109.0,26.5,20.4,116.9
35.0,6.0,15.0,26.0,0.577,2.0,6.0,0.333,3.0,6.0,0.5,3.0,0.611,40.2,0.615,121.0,116.0,29.8,15.7,109.4
30.0,7.0,10.0,17.0,0.588,3.0,4.0,0.75,7.0,9.0,0.778,1.0,0.716,28.1,0.676,145.0,111.0,28.1,20.2,110.8
24.0,7.0,9.0,14.0,0.643,1.0,2.0,0.5,5.0,6.0,0.833,1.0,0.721,27.0,0.679,157.0,111.0,27.2,13.9,109.1
18.0,7.0,7.0,19.0,0.368,0.0,5.0,0.0,4.0,5.0,0.8,5.0,0.425,33.7,0.368,82.0,108.0,12.5,-1.9,112.5
32.0,5.0,14.0,19.0,0.737,3.0,7.0,0.429,1.0,1.0,1.0,4.0,0.823,42.1,0.816,138.0,110.0,28.3,19.1,110.5
17.0,15.0,6.0,17.0,0.353,1.0,5.0,0.2,4.0,6.0,0.667,3.0,0.433,27.0,0.382,102.0,104.0,19.4,13.2,113.6
39.0,11.0,17.0,23.0,0.739,0.0,3.0,0.0,5.0,9.0,0.556,6.0,0.723,42.9,0.739,124.0,108.0,33.7,17.1,113.0
22.0,10.0,8.0,19.0,0.421,2.0,8.0,0.25,4.0,4.0,1.0,2.0,0.53,29.0,0.474,116.0,116.0,23.1,11.0,112.3
35.0,8.0,15.0,24.0,0.625,4.0,6.0,0.667,1.0,1.0,1.0,5.0,0.716,37.5,0.708,126.0,101.0,31.9,15.0,112.3
28.0,9.0,9.0,14.0,0.643,1.0,2.0,0.5,9.0,11.0,0.818,4.0,0.743,33.6,0.679,134.0,92.0,33.5,24.7,114.5
27.0,11.0,11.0,16.0,0.688,2.0,4.0,0.5,3.0,5.0,0.6,4.0,0.742,27.4,0.75,132.0,124.0,26.3,14.6,111.7
20.0,7.0,8.0,12.0,0.667,1.0,2.0,0.5,3.0,3.0,1.0,3.0,0.751,27.8,0.708,138.0,100.0,21.5,11.2,114.9
13.0,3.0,5.0,9.0,0.556,1.0,4.0,0.25,2.0,2.0,1.0,3.0,0.658,23.4,0.611,101.0,106.0,11.3,4.3,112.8
29.0,5.0,13.0,34.0,0.382,1.0,6.0,0.167,2.0,3.0,0.667,6.0,0.411,47.7,0.397,84.0,101.0,18.2,1.3,113.7
26.0,8.0,9.0,24.0,0.375,1.0,3.0,0.333,7.0,7.0,1.0,4.0,0.48,34.9,0.396,105.0,90.0,25.2,10.0,110.1
22.0,5.0,8.0,19.0,0.421,0.0,5.0,0.0,6.0,8.0,0.75,8.0,0.488,38.8,0.421,85.0,78.0,18.2,6.9,106.9
24.0,3.0,8.0,12.0,0.667,1.0,2.0,0.5,7.0,9.0,0.778,4.0,0.752,32.9,0.708,125.0,107.0,18.9,4.1,116.7
27.0,3.0,11.0,18.0,0.611,1.0,4.0,0.25,4.0,4.0,1.0,3.0,0.683,30.0,0.639,128.0,105.0,25.1,14.3,109.4
26.0,11.0,10.0,17.0,0.588,1.0,3.0,0.333,5.0,6.0,0.833,5.0,0.662,29.8,0.618,121.0,108.0,28.1,15.5,110.5
33.0,7.0,13.0,20.0,0.65,3.0,6.0,0.5,4.0,8.0,0.5,2.0,0.702,35.5,0.725,132.0,104.0,31.1,16.6,115.3
22.0,6.0,8.0,21.0,0.381,1.0,3.0,0.333,5.0,5.0,1.0,2.0,0.474,33.3,0.405,120.0,102.0,22.3,10.3,112.8
21.0,8.0,9.0,14.0,0.643,1.0,3.0,0.333,2.0,2.0,1.0,5.0,0.706,24.2,0.679,117.0,93.0,21.5,14.0,110.1
20.0,7.0,8.0,10.0,0.8,1.0,2.0,0.5,3.0,3.0,1.0,3.0,0.883,22.6,0.85,151.0,104.0,21.1,11.2,116.9
17.0,13.0,7.0,12.0,0.583,1.0,2.0,0.5,2.0,2.0,1.0,3.0,0.66,25.9,0.625,144.0,100.0,22.5,17.8,113.3
25.0,14.0,10.0,18.0,0.556,2.0,5.0,0.4,3.0,3.0,1.0,3.0,0.647,27.1,0.611,130.0,121.0,28.9,18.9,110.5
49.0,10.0,16.0,25.0,0.64,3.0,5.0,0.6,14.0,16.0,0.875,5.0,0.765,39.3,0.7,147.0,118.0,48.2,24.3,110.1
26.0,12.0,11.0,16.0,0.688,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.751,18.1,0.75,168.0,116.0,33.2,19.4,109.0
34.0,8.0,12.0,19.0,0.632,1.0,6.0,0.167,9.0,10.0,0.9,3.0,0.726,33.1,0.658,141.0,108.0,33.5,16.7,113.8
